时间,XX进口压力,XX出口压力,XX进口温度,XX出口温度,XX过滤器压差1号,XX过滤器压差2号,XX天然气泄漏浓度1号,XX天然气泄漏浓度2号,XX1号流量计温度,XX1号流量计压力,XX1号流量计工况瞬时流量,XX1号流量计标况瞬时流量,XX1号流量计工况累计流量,XX1号流量计标况累计流量,XX2号流量计温度,XX2号流量计压力,XX2号流量计工况瞬时流量,XX2号流量计标况瞬时流量,XX2号流量计工况累计流量,XX2号流量计标况累计流量
2023-04-0701:46:40,3.48,219.61,16.64,0.43,16.97,16.45,0,0,9.67,306.75,0,0,64671340,133277752,0.48,320.55,1724.5,5885.9,77826312,256964480
2023-04-0701:51:41,3.48,219.21,16.64,0.42,16.38,15.85,0,0.03,9.65,306.75,0,0,64671340,133277752,0.47,320.55,1608.9,5491.54,77826448,256964960
2023-04-0701:56:37,3.48,219.37,16.63,0.39,18.62,18.12,0,0,9.65,306.73,0,0,64671340,133277752,0.45,320.04,1858,6332.13,77826600,256965472
2023-04-0702:01:38,3.48,220.13,16.63,0.38,18.12,17.61,0,0,9.63,306.73,0,0,64671340,133277752,0.45,320.94,1828.5,6249.02,77826752,256965984
2023-04-0702:06:40,3.48,220.83,16.63,0.41,15.19,14.65,0,0.2,9.65,306.71,0,0,64671340,133277752,0.46,322,1591.1,5455.43,77826896,256966496
2023-04-0702:11:41,3.48,218.6,16.63,0.38,18.47,17.95,0,0,9.62,306.69,0,0,64671340,133277752,0.42,319.57,1811.3,6164.5,77827048,256967008
2023-04-0702:16:42,3.48,219.31,16.61,0.37,18.56,18.03,0,0.02,9.62,306.68,0,0,64671340,133277752,0.41,320.15,1852,6314.76,77827200,256967520
2023-04-0702:21:38,3.48,219.46,16.63,0.38,18.43,17.92,0,0.17,9.6,306.66,0,0,64671340,133277752,0.44,320.22,1840.2,6275.26,77827344,256968000
2023-04-0702:26:49,3.48,218.36,16.62,0.38,19.07,18.58,0,0.05,9.59,306.66,0,0,64671340,133277752,0.42,319.27,1846.1,6277.18,77827480,256968480
2023-04-0702:31:46,3.48,219.92,16.62,0.36,18.85,18.33,0,0.01,9.57,306.64,0,0,64671340,133277752,0.42,320.41,1876.2,6402.1,77827648,256969056
2023-04-0702:36:41,3.48,218.7,16.61,0.33,24.53,24.08,0,0.05,9.56,306.63,0,0,64671340,133277752,0.35,319.22,2276.6,7741.57,77827800,256969568
2023-04-0702:41:37,3.48,220.59,16.63,0.36,17.33,16.82,0,0.1,9.56,306.61,0,0,64671340,133277752,0.4,322.01,1756,6022.93,77827968,256970144
2023-04-0702:46:38,3.48,219.67,16.63,0.34,19,18.51,0,0.05,9.54,306.59,0,0,64671340,133277752,0.41,320.7,1783.2,6091.01,77828120,256970656
2023-04-0702:51:40,3.48,219.21,16.63,0.35,18.94,18.44,0,0,9.54,306.61,0,0,64671340,133277752,0.39,320.06,1864,6354.78,77828256,256971136
2023-04-0702:56:41,3.48,220.59,16.63,0.36,14.68,14.14,0,0,9.54,306.59,0,0,64671340,133277752,0.44,322.03,1548.3,5310.06,77828408,256971648
2023-04-0703:01:42,3.48,221.56,16.63,0.35,15.25,14.71,0,0,9.54,306.59,0,0,64671340,133277752,0.42,322,1650.4,5659.99,77828552,256972128
2023-04-0703:06:38,3.48,219.46,16.61,0.36,15.65,15.11,0,0,9.52,306.59,0,0,64671340,133277752,0.42,320.41,1560.9,5326.14,77828680,256972576
2023-04-0703:11:39,3.48,219.31,16.6,0.34,16.88,16.37,0,0,9.52,306.58,0,0,64671340,133277752,0.39,320.64,1709.1,5836.79,77828816,256973056
2023-04-0703:16:41,3.47,218.57,16.59,0.26,25.64,25.2,0,0,9.52,306.58,0,0,64671340,133277752,0.29,319.02,2341.4,7958.58,77828992,256973632
2023-04-0703:21:41,3.48,217.78,16.62,0.22,22.22,21.74,0,0.02,9.5,306.58,0,0,64671340,133277752,0.27,318.6,2035.3,6909.84,77829152,256974176
2023-04-0703:26:48,3.47,218.42,16.6,0.14,25.34,24.9,0,0,9.5,306.58,0,0,64671340,133277752,0.17,319.13,2304,7837.49,77829320,256974752
2023-04-0703:31:45,3.47,218.09,16.61,0.14,25.17,24.72,0,0.02,9.5,306.58,0,0,64671340,133277752,0.17,318.95,2285.7,7770.8,77829520,256975440
2023-04-0703:36:40,3.47,217.78,16.61,0.15,25.47,25.03,0,0.03,9.49,306.56,0,0,64671340,133277752,0.17,318.63,2304,7825.37,77829712,256976080
2023-04-0703:41:41,3.47,217.69,16.63,0.13,25.68,25.25,0,0.19,9.5,306.58,0,0,64671340,133277752,0.17,318.52,2313.2,7853.91,77829912,256976768
2023-04-0703:46:37,3.47,218.39,16.62,0.14,25.45,25.01,0,0.02,9.49,306.56,0,0,64671340,133277752,0.18,319.27,2294.8,7809.47,77830096,256977408
2023-04-0703:51:38,3.49,221.78,16.63,0.26,11.45,10.89,0,0,9.5,306.54,0,0,64671340,133277752,0.33,322.8,1294.3,4451.3,77830240,256977888
2023-04-0703:56:39,3.48,217.32,16.63,0.23,21.06,20.55,0,0.08,9.48,306.54,0,0,64671340,133277752,0.26,318.18,1777.7,6027.38,77830368,256978336
2023-04-0704:01:41,3.48,218.6,16.62,0.16,21.28,20.78,0,0.21,9.48,306.56,0,0,64671340,133277752,0.22,319.64,2013.9,6860.87,77830544,256978912
2023-04-0704:06:42,3.48,217.44,16.62,0.14,23.52,23.06,0,0.04,9.47,306.54,0,0,64671340,133277752,0.18,318.27,2165.4,7346.46,77830712,256979488
2023-04-0704:11:38,3.48,219.21,16.62,0.13,25.11,24.66,0,0.24,9.48,306.56,0,0,64671340,133277752,0.14,320.08,2267.7,7737.82,77830912,256980160
2023-04-0704:16:39,3.48,220.1,16.63,0.15,18.44,17.92,0,0.07,9.46,306.54,0,0,64671340,133277752,0.21,321.12,1794.3,6141.26,77831080,256980752
2023-04-0704:21:40,3.48,220.65,16.62,0.15,19.17,18.66,0,0.19,9.46,306.56,0,0,64671340,133277752,0.21,321.52,1888.5,6471.75,77831232,256981264
2023-04-0704:26:51,3.48,220.19,16.63,0.14,20.48,19.98,0,0.05,9.46,306.54,0,0,64671340,133277752,0.2,321.08,1959.1,6704.8,77831376,256981776
2023-04-0704:31:43,3.48,219.49,16.62,0.15,20.26,19.76,0,0,9.47,306.56,0,0,64671340,133277752,0.21,320.17,1932.8,6595.75,77831552,256982352
2023-04-0704:36:38,3.48,219.64,16.62,0.15,18.27,17.75,0,0.08,9.45,306.56,0,0,64671340,133277752,0.22,320.75,1777.7,6077.29,77831712,256982896
2023-04-0704:41:39,3.48,220.22,16.62,0.14,18.76,18.26,0,0,9.45,306.56,0,0,64671340,133277752,0.21,321.52,1882.3,6450.51,77831872,256983456
2023-04-0704:46:41,3.48,218.54,16.61,0.13,22.7,22.21,0,0,9.47,306.56,0,0,64671340,133277752,0.16,318.98,2102.1,7148.16,77832032,256984000
2023-04-0704:51:42,3.47,219.03,16.61,0.12,21.88,21.38,0,0,9.47,306.54,0,0,64671340,133277752,0.17,320,2049.8,6992.44,77832200,256984576
2023-04-0704:56:38,3.47,219.52,16.63,0.11,23.53,23.06,0,0.17,9.46,306.56,0,0,64671340,133277752,0.12,320.42,2190,7481.87,77832384,256985184
2023-04-0705:01:39,3.47,218.45,16.63,0.1,23.78,23.32,0,0.03,9.46,306.54,0,0,64671340,133277752,0.15,319.15,2190,7451.21,77832560,256985808
2023-04-0705:06:40,3.48,219.03,16.63,0.12,23.35,22.89,0,0,9.48,306.54,0,0,64671340,133277752,0.16,319.84,2157.3,7355.63,77832736,256986416
2023-04-0705:11:41,3.48,221.5,16.63,0.16,13.11,12.54,0,0,9.47,306.54,0,0,64671340,133277752,0.22,322.85,1469.3,5056.25,77832912,256986992
2023-04-0705:16:37,3.48,217.81,16.62,0.14,20.86,20.35,0,0.02,9.46,306.54,0,0,64671340,133277752,0.2,318.87,1979.3,6727.24,77833056,256987504
2023-04-0705:21:39,3.47,217.78,16.61,0.14,23.48,23.03,0,0.09,9.48,306.56,0,0,64671340,133277752,0.18,318.65,2165.4,7355.21,77833240,256988128
2023-04-0705:26:50,3.46,219.67,16.58,0.12,22.84,22.38,0,0.06,9.48,306.54,0,0,64671340,133277752,0.16,320.72,2157.3,7375.89,77833400,256988672
2023-04-0705:31:47,3.46,217.99,16.6,0.12,24.33,23.88,0,0.08,9.5,306.56,0,0,64671340,133277752,0.17,318.78,2206.8,7499.28,77833600,256989344
2023-04-0705:36:42,3.45,217.69,16.58,0.16,24.59,24.13,0,0,9.5,306.56,0,0,64671340,133277752,0.17,318.65,2232.5,7583.57,77833776,256989952
2023-04-0705:41:38,3.45,219.61,16.58,0.18,23.73,23.26,0,0.03,9.51,306.56,0,0,64671340,133277752,0.24,320.44,2181.8,7451.08,77833968,256990608
2023-04-0705:46:39,3.44,218.36,16.58,0.22,23.55,23.09,0,0,9.52,306.56,0,0,64671340,133277752,0.24,319.2,2133.3,7256.99,77834152,256991216
2023-04-0705:51:40,3.43,217.99,16.56,0.22,24.54,24.1,0,0.03,9.54,306.56,0,0,64671340,133277752,0.27,318.93,2215.3,7528.63,77834328,256991824
2023-04-0705:56:41,3.43,220.04,16.58,0.34,16.91,16.39,0,0,9.55,306.58,0,0,64671340,133277752,0.38,320.94,1694,5791.26,77834472,256992304
2023-04-0706:01:38,3.42,217.2,16.56,0.3,26.25,25.82,0,0.04,9.55,306.58,0,0,64671340,133277752,0.35,317.83,2215.3,7500.4,77834632,256992848
2023-04-0706:06:39,3.41,217.69,16.53,0.31,26.1,25.67,0,0,9.57,306.58,0,0,64671340,133277752,0.34,318.6,2313.2,7851.07,77834816,256993504
2023-04-0706:11:40,3.41,221.02,16.55,0.38,18,17.47,0,0.02,9.57,306.59,0,0,64671340,133277752,0.45,322.2,1919.9,6587.56,77835000,256994112
2023-04-0706:16:41,3.4,221.02,16.52,0.43,17.96,17.44,0,0.08,9.58,306.61,0,0,64671340,133277752,0.49,322.14,1777.7,6097.7,77835160,256994656
2023-04-0706:21:37,3.38,220.22,16.52,0.47,19.43,18.9,0,0,9.6,306.61,0,0,64671340,133277752,0.52,321.23,1840.2,6293,77835320,256995200
2023-04-0706:26:49,3.37,217.93,16.5,0.49,23.76,23.3,0,0.01,9.62,306.64,0,0,64671340,133277752,0.53,318.95,2141.2,7270.03,77835472,256995712
2023-04-0706:31:46,3.36,219.79,16.48,0.54,22.41,21.92,0,0.02,9.63,306.66,0,0,64671340,133277752,0.59,320.97,2057.1,7027.34,77835664,256996368
2023-04-0706:36:41,3.34,219.21,16.48,0.61,23.27,22.8,0,0.07,9.64,306.68,0,0,64671340,133277752,0.66,320.21,2094.5,7136.31,77835832,256996944
2023-04-0706:41:42,3.33,218.42,16.47,0.67,23.85,23.4,0,0.2,9.65,306.71,0,0,64671340,133277752,0.71,319.44,2125.4,7222.93,77836008,256997552
2023-04-0706:46:38,3.31,220.74,16.46,0.77,16.72,16.18,0,0.01,9.68,306.73,0,0,64671340,133277752,0.85,322.31,1694,5805.71,77836168,256998096
2023-04-0706:51:40,3.3,219.95,16.43,0.86,20.13,19.63,0,0,9.71,306.75,0,0,64671340,133277752,0.89,320.94,1870.1,6380.61,77836320,256998608
2023-04-0706:56:40,3.28,218.39,16.41,0.95,19.8,19.29,0,0.1,9.71,306.76,0,0,64671340,133277752,1.01,319.4,1766.8,5996.64,77836464,256999088
2023-04-0707:01:41,3.26,217.9,16.4,1.02,21.29,20.8,0,0.02,9.73,306.8,0,0,64671340,133277752,1.07,319.05,1900.9,6443.36,77836624,256999632
2023-04-0707:06:37,3.24,218.97,16.39,1.12,21.33,20.84,0,0,9.77,306.83,0,0,64671340,133277752,1.16,320.1,1900.9,6462.01,77836784,257000176
2023-04-0707:11:39,3.23,218.54,16.42,1.24,15.84,15.31,0,0.05,9.79,306.86,0,0,64671340,133277752,1.33,319.75,1391.2,4721.41,77836920,257000656
2023-04-0707:16:40,3.22,217.38,16.41,1.31,23.27,22.81,0,0,9.87,306.88,0,0,64671340,133277752,1.35,318.29,1882.3,6357.92,77837056,257001120
2023-04-0707:21:41,3.21,220.07,16.43,1.32,21.57,21.09,0,0.07,9.92,306.96,0,0,64671340,133277752,1.38,321.14,1945.9,6631.33,77837232,257001712
2023-04-0707:26:52,3.21,218.39,16.45,1.35,23.71,23.28,0,0,9.94,307.03,0,0,64671340,133277752,1.37,319.38,2071.9,7021.91,77837376,257002208
2023-04-0707:31:44,3.22,217.81,16.48,1.39,24.04,23.6,0,0.01,9.95,307.08,0,0,64671340,133277752,1.44,318.91,2094.5,7086.15,77837560,257002816
2023-04-0707:36:39,3.22,218.39,16.5,1.43,22.49,22.01,0,0.01,10.03,307.18,0,0,64671340,133277752,1.47,319.53,1979.3,6709.11,77837720,257003360
2023-04-0707:41:40,3.22,222.36,16.51,1.47,14.01,13.45,0,0.08,10.11,307.27,0,0,64671340,133277752,1.51,323.44,1939.3,6652.98,77837888,257003936
2023-04-0707:46:42,3.23,220.8,16.54,1.55,12.82,12.27,0,0.17,10.17,307.3,0,0,64671340,133277752,1.65,322.43,1321,4515.37,77838008,257004352
2023-04-0707:51:38,3.23,218.21,16.53,1.57,18.58,18.07,0,0,10.24,307.42,0,0,64671340,133277752,1.68,319.37,1591.1,5386.27,77838128,257004768
2023-04-0707:56:39,3.22,216.93,16.52,1.48,27.06,26.63,0,0.06,10.31,307.48,0,0,64671340,133277752,1.53,318.07,2241.2,7559.79,77838304,257005344
2023-04-0708:01:40,3.22,219.61,16.53,1.49,23.55,23.09,0,0.02,10.41,307.58,0,0,64671340,133277752,1.53,320.72,2035.3,6922.93,77838488,257005984
2023-04-0708:06:41,3.22,220.1,16.54,1.51,23.51,23.05,0,0.04,10.48,307.63,0,0,64671340,133277752,1.58,321.23,2165.4,7375.85,77838672,257006592
2023-04-0708:11:38,3.22,219.89,16.56,1.57,21.46,20.97,0,0,10.63,307.75,0,0,64671340,133277752,1.62,321.12,1913.6,6514.85,77838840,257007168
2023-04-0708:16:38,3.22,219.49,16.56,1.58,22.22,21.73,0,0.02,10.72,307.9,0,0,64671340,133277752,1.64,320.42,1972.5,6700.38,77839000,257007712
2023-04-0708:21:40,3.22,219.21,16.57,1.6,23.4,22.95,0,0.12,10.77,307.99,0,0,64671340,133277752,1.68,320.32,2049.8,6959.58,77839160,257008256
2023-04-0708:26:50,3.22,217.99,16.56,1.58,24.56,24.11,0,0.06,10.9,308.05,0,0,64671340,133277752,1.65,319.18,2109.8,7138.74,77839312,257008768
2023-04-0708:31:47,3.22,218.76,16.57,1.62,22.83,22.36,0,0.17,11.02,308.21,0,0,64671340,133277752,1.69,320.04,1972.5,6691.15,77839504,257009408
2023-04-0708:36:38,3.22,219.49,16.57,1.63,20.74,20.26,0,0.06,11.06,308.26,0,0,64671340,133277752,1.7,320.79,1846.1,6276.81,77839672,257009984
2023-04-0708:41:39,3.23,218.3,16.6,1.74,14.72,14.18,0,0,11.16,308.37,0,0,64671340,133277752,1.84,319.99,1263.1,4281.64,77839800,257010432
2023-04-0708:46:40,3.22,217.81,16.59,1.68,24.02,23.56,0,0.06,11.27,308.46,0,0,64671340,133277752,1.76,318.76,2094.5,7074.32,77839960,257010976
2023-04-0708:51:42,3.23,218.82,16.59,1.76,16.29,15.76,0,0,11.29,308.54,0,0,64671340,133277752,1.87,320.04,1401.4,4750.6,77840088,257011408
2023-04-0708:56:38,3.23,219.46,16.61,1.76,15.42,14.89,0,0.13,11.36,308.59,0,0,64671340,133277752,1.87,320.94,1507.8,5125.58,77840224,257011856
2023-04-0709:01:39,3.23,219.67,16.63,1.79,13.83,13.27,0,0.04,11.48,308.68,0,0,64671340,133277752,1.9,320.79,1411.7,4796.58,77840352,257012304
2023-04-0709:06:40,3.23,220.07,16.6,1.81,14.29,13.74,0,0,11.53,308.79,0,0,64671340,133277752,1.9,321.47,1480.7,5041.36,77840464,257012672
2023-04-0709:11:41,3.24,220.41,16.6,1.82,14.3,13.76,0,0,11.6,308.84,0,0,64671340,133277752,1.94,321.43,1473.1,5014.19,77840576,257013072
2023-04-0709:16:37,3.23,218.67,16.58,1.78,17.52,17.01,0,0.08,11.67,308.88,0,0,64671340,133277752,1.88,320.37,1669.5,5664.91,77840720,257013552
2023-04-0709:21:38,3.23,219.46,16.58,1.74,21.14,20.66,0,0,11.73,308.99,0,0,64671340,133277752,1.82,320.66,1919.9,6521.95,77840880,257014096
2023-04-0709:26:51,3.23,218.85,16.59,1.73,21.07,20.59,0,0.05,11.84,309.13,0,0,64671340,133277752,1.83,320.08,1888.5,6403.33,77841024,257014576
2023-04-0709:31:47,3.23,219.31,16.58,1.75,21.25,20.78,0,0,11.94,309.21,0,0,64671340,133277752,1.84,320.44,1919.9,6517.02,77841200,257015184
2023-04-0709:36:42,3.23,218.76,16.58,1.75,21.35,20.88,0,0.02,12.05,309.31,0,0,64671340,133277752,1.83,319.95,1926.3,6528.9,77841360,257015728
2023-04-0709:41:38,3.23,217.38,16.6,1.77,22.41,21.93,0,0.02,12.18,309.46,0,0,64671340,133277752,1.83,318.62,1986.1,6703.54,77841520,257016272
2023-04-0709:46:39,3.23,218.91,16.61,1.8,21.68,21.2,0,0,12.25,309.58,0,0,64671340,133277752,1.89,320.33,1945.9,6601.81,77841680,257016800
2023-04-0709:51:40,3.23,219.67,16.61,1.81,18.62,18.14,0,0.02,12.38,309.72,0,0,64671340,133277752,1.93,320.94,1756,5967.88,77841840,257017344
2023-04-0709:56:41,3.23,220.44,16.63,1.88,17.22,16.71,0,0,12.54,309.87,0,0,64671340,133277752,2.02,321.78,1664.7,5670.78,77841992,257017856
2023-04-0710:01:37,3.23,220.86,16.62,1.94,15.24,14.7,0,0,12.69,310.03,0,0,64671340,133277752,2.07,322.2,1586.7,5411.13,77842128,257018336
2023-04-0710:06:38,3.23,218.7,16.61,1.94,18.53,18.04,0,0.13,12.8,310.14,0,0,64671340,133277752,2.08,319.9,1679.2,5685.15,77842256,257018784
2023-04-0710:11:40,3.23,220.13,16.62,1.96,17.26,16.75,0,0,12.93,310.3,0,0,64671340,133277752,2.1,321.58,1756,5975.94,77842408,257019280
2023-04-0710:16:41,3.23,218.15,16.63,1.95,19.62,19.14,0,0.04,13.07,310.49,0,0,64671340,133277752,2.08,319.46,1805.6,6104.69,77842560,257019792
2023-04-0710:21:37,3.22,217.35,16.64,1.91,22.17,21.71,0,0,13.23,310.61,0,0,64671340,133277752,2.02,318.58,1979.3,6675.07,77842712,257020304
2023-04-0710:26:49,3.22,217.08,16.63,1.9,22.68,22.22,0,0,13.35,310.67,0,0,64671340,133277752,2,318.4,1979.3,6671.74,77842864,257020800
2023-04-0710:31:46,3.22,219.06,16.63,1.89,22.11,21.63,0,0.03,13.48,310.87,0,0,64671340,133277752,2.01,320.46,1965.8,6668.93,77843040,257021408
2023-04-0710:36:40,3.22,219.18,16.63,1.89,22.25,21.78,0,0,13.61,310.96,0,0,64671340,133277752,2.01,320.35,1979.3,6712.43,77843208,257021984
2023-04-0710:41:41,3.22,218.27,16.65,1.93,21.94,21.47,0,0.05,13.7,311.11,0,0,64671340,133277752,2.04,319.58,1945.9,6582.64,77843368,257022528
2023-04-0710:46:38,3.22,218.97,16.64,1.92,21.91,21.46,0,0,13.84,311.24,0,0,64671340,133277752,2.04,320.35,1952.5,6620.83,77843528,257023072
2023-04-0710:51:39,3.22,218.39,16.64,1.89,23.14,22.69,0,0.03,13.97,311.33,0,0,64671340,133277752,1.99,319.62,2035.3,6887.1,77843696,257023648
2023-04-0710:56:40,3.22,218.76,16.65,1.93,21.8,21.31,0,0,14.06,311.5,0,0,64671340,133277752,2.04,320.02,1939.3,6569.32,77843872,257024224
2023-04-0711:01:41,3.22,219.12,16.66,1.96,20.69,20.21,0,0.06,14.18,311.6,0,0,64671340,133277752,2.1,320.55,1864,6323.32,77844016,257024736
2023-04-0711:06:42,3.22,219.15,16.65,1.96,21.76,21.29,0,0.03,14.27,311.7,0,0,64671340,133277752,2.08,320.42,1945.9,6598.99,77844176,257025280
2023-04-0711:11:38,3.22,219.12,16.66,1.98,21.77,21.29,0,0.03,14.39,311.83,0,0,64671340,133277752,2.12,320.37,1945.9,6596.89,77844352,257025856
2023-04-0711:16:39,3.22,219.34,16.67,2.01,20.77,20.29,0,0.05,14.49,311.93,0,0,64671340,133277752,2.13,320.52,1876.2,6363.3,77844512,257026400
2023-04-0711:21:40,3.22,218.57,16.66,2,21.32,20.85,0,0,14.6,312.03,0,0,64671340,133277752,2.14,319.84,1900.9,6433.23,77844672,257026944
2023-04-0711:26:52,3.22,219.06,16.67,2.02,20.73,20.24,0,0,14.7,312.1,0,0,64671340,133277752,2.15,320.42,1870.1,6340.33,77844808,257027408
2023-04-0711:31:45,3.23,217.78,16.72,2.21,17.99,17.49,0,0,14.79,312.25,0,0,64671340,133277752,2.36,318.85,1631.7,5500.46,77844944,257027856
2023-04-0711:36:39,3.23,218.21,16.68,2.05,22,21.54,0,0.06,14.87,312.33,0,0,64671340,133277752,2.18,319.35,1965.8,6641.57,77845104,257028400
2023-04-0711:41:40,3.23,217.51,16.68,2.03,22.38,21.89,0,0.1,14.96,312.49,0,0,64671340,133277752,2.13,318.65,1986.1,6696.85,77845264,257028928
2023-04-0711:46:41,3.23,217.93,16.67,2,21.87,21.38,0,0.09,15.05,312.52,0,0,64671340,133277752,2.15,319.38,1945.9,6575.87,77845432,257029504
2023-04-0711:51:38,3.22,218.39,16.66,1.98,24.28,23.84,0,0.02,15.11,312.6,0,0,64671340,133277752,2.1,319.58,2109.8,7135.53,77845600,257030080
2023-04-0711:56:39,3.23,219.18,16.66,1.98,23.09,22.62,0,0.05,15.18,312.69,0,0,64671340,133277752,2.1,320.22,2049.8,6946.48,77845768,257030656
2023-04-0712:01:39,3.23,221.6,16.68,2.02,15.24,14.7,0,0,15.26,312.79,0,0,64671340,133277752,2.15,322.53,1900.9,6487.46,77845928,257031200
2023-04-0712:06:41,3.23,216.99,16.7,2.18,19.22,18.73,0,0,15.32,312.82,0,0,64671340,133277752,2.32,318.29,1694,5701.34,77846040,257031568
2023-04-0712:11:42,3.23,217.51,16.68,2.03,23.04,22.58,0,0.03,15.44,312.84,0,0,64671340,133277752,2.15,318.67,2042.5,6886.65,77846200,257032112
2023-04-0712:16:38,3.23,216.47,16.67,1.98,24.78,24.34,0,0.05,15.45,312.92,0,0,64671340,133277752,2.08,317.83,2064.4,6943.89,77846368,257032688
2023-04-0712:21:39,3.23,218.06,16.67,1.9,26.19,25.78,0,0.14,15.5,313.02,0,0,64671340,133277752,2.01,319.33,2232.5,7546.56,77846560,257033328
2023-04-0712:26:51,3.23,218.51,16.68,1.92,24.69,24.25,0,0,15.56,313.09,0,0,64671340,133277752,2.01,319.68,2125.4,7192.33,77846720,257033872
2023-04-0712:31:47,3.23,218.24,16.68,1.9,24.86,24.43,0,0.09,15.62,313.14,0,0,64671340,133277752,2.01,319.49,2133.3,7214.96,77846920,257034544
2023-04-0712:36:37,3.24,220.5,16.72,2.03,12.58,12.02,0,0.02,15.69,313.19,0,0,64671340,133277752,2.19,322.2,1368.1,4663.71,77847072,257035056
2023-04-0712:41:38,3.24,217.84,16.68,2,22.33,21.86,0,0.06,15.69,313.24,0,0,64671340,133277752,2.14,318.87,1999.9,6747.86,77847216,257035568
2023-04-0712:46:40,3.23,218.21,16.68,1.88,26.12,25.7,0,0.02,15.76,313.32,0,0,64671340,133277752,2,319.33,2249.9,7605.74,77847400,257036176
2023-04-0712:51:41,3.24,217.51,16.71,2.05,18.4,17.9,0,0.08,15.8,313.36,0,0,64671340,133277752,2.19,318.95,1454.5,4907.96,77847536,257036640
2023-04-0712:56:42,3.24,216.56,16.68,1.94,28.54,28.13,0,0,15.88,313.44,0,0,64671340,133277752,2.01,317.59,2351,7903.94,77847712,257037216
2023-04-0713:01:38,3.23,217.63,16.68,1.85,28.53,28.13,0,0.01,15.93,313.48,0,0,64671340,133277752,1.95,318.62,2380.1,8029.38,77847904,257037856
2023-04-0713:06:39,3.23,218.12,16.68,1.83,28.1,27.71,0,0.14,15.96,313.53,0,0,64671340,133277752,1.94,319.18,2341.4,7913.15,77848096,257038528
2023-04-0713:11:40,3.24,218.42,16.68,1.81,27.61,27.2,0,0,16.02,313.61,0,0,64671340,133277752,1.92,319.62,2313.2,7829.14,77848288,257039184
2023-04-0713:16:42,3.24,218.36,16.7,1.82,27.59,27.2,0,0.03,16.11,313.66,0,0,64671340,133277752,1.93,319.47,2313.2,7825.27,77848488,257039856
2023-04-0713:21:37,3.24,219,16.7,1.82,26.06,25.65,0,0.01,16.14,313.71,0,0,64671340,133277752,1.93,320.08,2223.9,7537.99,77848672,257040464
2023-04-0713:26:50,3.24,218.27,16.69,1.78,28.24,27.82,0,0,16.14,313.73,0,0,64671340,133277752,1.89,319.27,2360.6,7981.77,77848848,257041072
2023-04-0713:31:47,3.24,218.54,16.69,1.81,27.53,27.12,0,0,16.19,313.74,0,0,64671340,133277752,1.89,319.71,2322.5,7863.72,77849072,257041808
2023-04-0713:36:41,3.24,217.96,16.71,1.8,27.78,27.36,0,0.03,16.24,313.79,0,0,64671340,133277752,1.9,319.07,2322.5,7847.7,77849264,257042464
2023-04-0713:41:42,3.24,217.63,16.7,1.78,28.28,27.87,0,0.08,16.27,313.81,0,0,64671340,133277752,1.9,318.62,2360.6,7965.04,77849456,257043136
2023-04-0713:46:38,3.24,216.68,16.72,1.83,28.1,27.69,0,0.11,16.34,313.9,0,0,64671340,133277752,1.93,317.87,2331.9,7848.87,77849632,257043712
2023-04-0713:51:39,3.24,218.57,16.7,1.81,26.93,26.51,0,0,16.37,313.95,0,0,64671340,133277752,1.95,319.73,2285.7,7737.89,77849824,257044352
2023-04-0713:56:41,3.24,219.58,16.71,1.83,23.05,22.59,0,0,16.4,314,0,0,64671340,133277752,1.95,320.86,2028.1,6890.63,77850008,257044992
2023-04-0714:01:41,3.25,219.06,16.72,1.9,21.74,21.26,0,0.13,16.44,314.01,0,0,64671340,133277752,2.02,320.32,1945.9,6598.52,77850168,257045536
2023-04-0714:06:37,3.25,221.93,16.72,1.92,14.48,13.94,0,0,16.45,314.06,0,0,64671340,133277752,2.07,323.13,1882.3,6437.72,77850328,257046080
2023-04-0714:11:39,3.25,217.29,16.72,1.98,20.38,19.9,0,0.02,16.47,314.1,0,0,64671340,133277752,2.11,318.8,1788.8,6034.66,77850472,257046544
2023-04-0714:16:40,3.25,218.21,16.7,1.92,21.89,21.42,0,0.11,16.5,314.11,0,0,64671340,133277752,2.02,319.53,1952.5,6604.31,77850632,257047088
2023-04-0714:21:41,3.25,218.73,16.72,1.91,21.36,20.88,0,0.06,16.54,314.16,0,0,64671340,133277752,2.04,319.9,1926.3,6522.68,77850800,257047664
2023-04-0714:26:53,3.25,217.44,16.73,1.92,22.31,21.83,0,0,16.59,314.18,0,0,64671340,133277752,2.04,318.54,1972.5,6650.89,77850944,257048144
2023-04-0714:31:45,3.25,218.76,16.72,1.92,21.66,21.19,0,0.05,16.63,314.2,0,0,64671340,133277752,2.04,319.84,1952.5,6610.26,77851120,257048752
2023-04-0714:36:39,3.25,217.84,16.72,1.92,22.35,21.89,0,0,16.67,314.25,0,0,64671340,133277752,2.02,319.09,1999.9,6755.38,77851280,257049296
2023-04-0714:41:41,3.25,218.39,16.72,1.92,21.67,21.2,0,0,16.68,314.25,0,0,64671340,133277752,2.02,319.51,1945.9,6581.61,77851448,257049872
2023-04-0714:46:42,3.25,221.56,16.71,1.95,12.63,12.08,0,0.04,16.69,314.26,0,0,64671340,133277752,2.08,322.78,1622.5,5543.19,77851608,257050400
2023-04-0714:51:38,3.25,218.7,16.72,2.02,17.17,16.65,0,0.02,16.68,314.25,0,0,64671340,133277752,2.18,319.99,1655.1,5603.1,77851728,257050816
